SL NO,Image_ID,Caption
1,20240911005418_1,A character in floral-patterned attire with dramatic makeup.
2,20240911010854_1,An engraved silver pistol with a scrollwork design.
3,20240911011120_1,A hand grasps an ornate revolver adorned with intricate floral engravings.
4,20240911011359_1,A hand grasps an ornate revolver adorned with intricate floral engravings.
5,20240911013528_1,"A man in a hat stands near a campfire at night, with chairs and a bucket nearby in a foggy forest."
6,20240911024459_1,"A group of people walks along a sandy beach near clear blue water, surrounded by lush greenery and rocky terrain."
7,20240911024510_1,Coastal landscape with green hills and a blue ocean under a clear sky.
8,20240911024522_1,A glimpse of a serene beach through lush tropical vegetation.
9,20240911025030_1,"five individuals traverse a sunlit forest, surrounded by tall grass, vibrant greenery, and red flowers, with the leader carrying a rifle."
10,20240601211037_1,"A blue glowing pyramid emits a vertical yellow light beam in a dark, digital setting."
11,20240601211121_1,"A blue-glowning pyramid emits a vertical yellow light beam in the middle of a dark, digital setting, with a character standing inside the beam."
12,20240601211204_1,"A character wearing a vest stands beside a yellow vertical beam in a dark setting, with a dialogue about betrayal at the bottom of the screen."
13,20240601211300_1,"A character sitting with one leg on the table, holding an object, in a dark setting with a yellow beam of light in the background."
14,20240525142456_1,"Bloodied battlefield scene with two lifeless bodies and the player preparing for action in a hostile area, holding a gun."
15,20240525144846_1,"A character rides a motorcycle down a rain-soaked road at night, with a van approaching in the incoming lane."
16,20240525145034_1,A character rides a motorcycle on a rain-soaked road at night.
17,20240525182425_1,"Two bloodied, lifeless bodies lie on the ground as a person aims and fires a gun at them."
18,20240525183505_1,A scan of a bottle of questionable whiskey sitting on a table in a dimly lit room
19,20240525185011_1,"A cybernetic hand reaches out under glowing lanterns, set against a vibrant cityscape at night."
20,20240525185021_1,"Two glowing, holographic koi fish move among illuminated lanterns, lighting up the busy streets of a futuristic city."
21,20240525185041_1,"Multiple glowing, holographic koi fish float through the air among illuminated lanterns, lighting up the busy streets of a futuristic city."
22,20240528005627_1,"A headless character with a detached leg lies on the ground, with two pistols beside him."
23,20240911025233_1,A black wolf with glowing eyes stands in a misty forest at night.
24,20240910012111_1,"A character wearing a white shirt, brown vest, glasses, and hand gloves on the left hand, looking left with mouth open."
25,20240910012123_1,"A character in black attire sits on a wooden chair, their wrists secured with restraints, while another character operates a machine in a foggy outdoor setting."
26,20240910012145_1,"A character sits on a wooden chair, their body marked with visible wounds and wrists secured with restraints."
27,20240910012609_1,"At night, a character stands in front of a building on a dimly lit street, with a wet road."
28,20240911001002_1,"Two dead bodies of characters lie on the grassy surface, one headless, positioned beside a campfire."
29,20240911002648_1,"An oil rig is consumed by flames, with smoke billowing into the night sky. A hill looms in the distance."
30,20240911002713_1,An oil rig burns in the night.
31,20240911003758_1,"A headless character sits on a horse, holding their head in their hands, in a forest."
32,20240911004530_1,"A dimly lit, foggy forest with shallow water, where dead bodies lie scattered on the surface."
33,20240911004857_1,"A daytime view of a serene swamp scene with a dead fish on the shore, a railroad bridge in the distance, and an oil slick marring the water's surface."
34,20240911005056_1,"A character with long hair and red lips sits on the street, holding a hand fan."
35,20240909221646_1,"In a dimly lit room, an injured dead body lies on a bed."
36,20240909223613_1,"A man in a weathered coat and cowboy hat, with a bandolier, kneels on the grassy surface, touching a dog's neck."
37,20240909224019_1,"A character in a hat and blue coat stands in a dark room, releasing smoke from his mouth."
38,20240909233514_1,"A character with a beard and long hair, wearing a gray coat, stands on a street with sunlight falling on him, carrying a pistol in a belt holster."
39,20240909234007_1,"A character with a neutral expression, wearing a black suit and red tie, stands inside a dimly lit room with walls adorned with posters."
40,20240909234138_1,"A horse-drawn carriage with well-dressed passengers moves along a dirt street with tram tracks, surrounded by worn buildings and scattered pedestrians."
41,20240910002304_1,"A character fires a mounted machine gun at night, flames bursting from the barrel."
42,20240910002929_1,"A lightning bolt cuts through dense clouds in the dark night sky, striking the ground with a bright impact."
43,20240910003028_1,"A rider on horseback pauses by a lake under a stormy sky, with lightning striking in the distance."
44,20240910005000_1,"A skeleton lies on muddy ground with rough patches, its neck restrained by a metal object, in an open area with light shining from above."
45,20240910005837_1,"A weathered boat sits atop a broken tree trunk by a calm river, surrounded by lush greenery in daylight."
46,20240902205041_1,"A character with long hair and a beard leans against a stone wall, sunlight filtering through a nearby metal railing, with ferns sprouting from the cracks."
47,20240902205244_1,"A bald man with a beard stands by a stone wall. Sunlight shines through a metal railing above, and ferns grow from cracks in the wall."
48,20240902210007_1,"A character holds a white paper with a drawing of a nude female character above a railway track, with a map displayed in the bottom left corner."
49,20240902213912_1,"A bearded man drinks by firelight near an old house, surrounded by supplies and dark trees at night."
50,20240909201146_1,"A bell hangs from a pole as sunlight streams through the trees in a misty, swampy forest."
51,20240909204044_1,"A dimly lit mansion foyer with twin staircases, marble columns, and a central chandelier."
52,20240909211520_1,"A rugged, bearded character in a coat sits beside a female character in a checkered dress."
53,20240909211754_1,"A rugged, bearded character in a coat sits in front, while a female character in a checkered dress sits behind him on a street in front of a building."
54,20240909212143_1,"A male character places his hands on a brick wall, standing in front of a female character at the corner of a building."
55,20240909213822_1,A male character with a beard wearing a jacket and a female character in a checkered dress sit side by side on chairs in a dark room.
56,20240909213905_1,"In a dark room, a female performer performs with fire on stage while the audience watches, sitting in their chairs."
57,20240909214347_1,"In a dark room, four female performers and a male performer perform on stage while the audience watches, sitting in their chairs."
58,20240820224138_1,A male character with long hair and a beard holds a cigarette in his mouth and a match with fire in his hand.
59,20240820224303_1,A male character with long hair and a beard smokes a cigarette while standing in a forest at night.
60,20240820224657_1,"A male character fires a revolver, the muzzle flash illuminating the darkness around him."
61,20240820225058_1,"A male character fires a revolver upward at night, the muzzle flash illuminating his figure and the surrounding forest."
62,20240823232630_1,"A male character stands by a calm river with a rifle, a horse nearby, and hills in the background."
63,20240823234109_1,A male character on horseback holding a lantern amidst falling snow in a dark forest on a snowy night.
64,20240823235905_1,"A male character firing a mounted machine gun inside a rustic barn, with sunlight streaming through the wooden walls."
65,20240827164745_1,"A male character wearing a raccoon hat and bandolier, standing in a sunlit forest."
66,20240827183135_1,"A male character and a female character in period clothing, one wearing a hat and the other with a bandolier, are seated on a horse-drawn carriage."
67,20240902175457_1,A male character in fox headgear holds two revolvers inside a dark room.
68,20240902191727_1,"A male character in a rugged leather coat paddles a wooden canoe across a calm, forest-lined river under a dim, cloudy sky."
69,20240718230256_1,"Meadow with wildflowers and greenery, adjacent to a pond. Clear blue sky above, surrounded by trees and chirping birds."
70,20240719152409_1,"A man in a leather coat holds a lantern on a sandy riverside at night, with a figure mid-air and a starry sky above the trees."
71,20240719154033_1,"Two male characters stand on a dock in the rain, overlooking a lake with a rainbow."
72,20240719162132_1,"A male character with a rifle sits on a horse, gazing at the night sky filled with stars above a forest."
73,20240720154058_1,"Two male characters, one with long hair and the other wearing a cowboy hat, sit on a vehicle in front of the Bank of Rhodes during the daytime."
74,20240720161216_1,A rider on horseback moves through a forest as sunlight streams through the trees.
75,20240720162054_1,A male character points a rifle toward another character in a tense standoff in a forest at night.
76,20240720172747_1,A male character with long hair stands before a fiery blaze in a dim underground tunnel.
77,20240630191144_1,"At sunset, a rally car races down a wet road, its headlights flashing brightly."
78,20240630191355_1," A rally car speeds along a wet road at night, headlights and taillights glowing in the dimly lit surroundings."
79,20240630191637_1,"A bell hangs from a pole as sunlight streams through the trees in a misty, swampy forest."
80,20240618214440_1,.A car on a lift at a repair station with automated laser systems performing multiple repairs.
81,20240602160709_1,"Street scene with neon signs, advertisements, and market stalls in a futuristic city."
82,20240602160837_1,"A Street View with stalls, buildings, and a vendor wearing a vest working in a food stall"
83,20240602214148_1,"Street scene with cars, buildings, lanterns, signs, and a large lion poster"
84,20240602221849_1,"A Character lies face down, legs detached, one hand remaining, with injuries visible on the body"
85,20240602223614_1,"A male character firing gun while falling backward, neon lights in background."
86,20240602224443_1,A Black car driving in mid-air on the road with pipes in an industrial background.
87,20240602224735_1,"A Person shooting gun at another person in a dark, industrial setting."
88,20240602224937_1,"Person firing shotgun, wearing red vest, standing in industrial setting with sparks flying."
89,20240602230231_1,A Car driving on city street at night with headlights on.
90,20240602230835_1,"A Person holding gun, another person covering lower body, vending machines behind."
91,20240602232917_1,Person standing in front of neon-lit bar with smoke and colorful signs
92,20240602233252_1,"A Female character with nose ring, blue hair, purple fur coat, and neon-lit futuristic background."
93,20240603145616_1,A Female character with tattoos and green-pink highlighted hair.
94,20240603160505_1,A Person shooting gun at cyborg in dark industrial setting.
95,20240603161222_1,Man shoots flamethrower at a cyborg's half body lying on the floor.
96,20240611131647_1,Character holding a cigarette in a neon-lit room with others in the background.
97,20240611131702_1,"Futuristic room with neon lights, multiple people, police tape, and a map on screen."
98,20240611134338_1,"Bloodied body with tattoos, detached legs, one hand on the ground, blood scattered"
99,20240618212350_1,A cyborg character in a white jacket with a robotic neck and hands sitting at a diner table.
100,20240618213042_1,A person with a cybernetic arm lounging in a diner booth with a leg on the table.
101,20240618214440_1,Car suspended in futuristic workshop with red lasers and flying sparks.
102,20240630193610_1,"Orange sports car driving on highway, speedometer showing 431 km/h."
103,20240701191145_1,Blue sports car on large rock in desert landscape with cloudy sky.
104,20240701191316_1,"A green sports car with scratches, shattered glass, and ripples, racing through a desert."
