SL NO,Image_ID,Caption
1,20241020203334_1,"A fenced farmyard with a barn, horse, surrounding trees, and vast open fields."
2,20241020204935_1,"A man chopping wood with an axe, wood chips flying under a clear sky."
3,20241020205402_1,A dog walking alongside a man with a fishing rod and a boy.
4,20241020210220_1,"A vibrant rooster with orange, blue, and red feathers stands inside a wire-mesh enclosure with dry grass."
5,20241020210233_1,A brown chicken flaps its wings while a white chicken stands behind in a grassy enclosure.
6,20241020210245_1,A cowboy wearing a hat stands beside a tan dog near a wooden fence and water trough.
7,20241020210410_1,Sunlight streams through a window into a rustic wooden cabin with a lit fireplace.
8,20241020211320_1,"A bloodied person lies motionless on muddy ground, surrounded by broken wooden debris."
9,20241020213739_1,"A man and woman dance closely together, framed by a scenic countryside backdrop."
10,20241020214644_1,Two people sit in a wooden rowboat on a reflective river at sunset.
11,20241020214658_1,Two people sit in a rowboat on a calm lake during a pastel sunset.
12,20241020214710_1,"A bearded man and a woman sit in a wooden boat, holding hands."
13,20241020214743_1,A close-up of a woman’s face with an expressive gaze against dusk clouds.
14,20241020214831_1,A small wooden boat with two people floats on a calm lake at sunset.
15,20241025172502_1,"A man in a snowy area is shot, blood spraying, holding a revolver."
16,20241025172605_1,A wooden chest filled with gold bars and bundles of cash is present.
17,20241025172718_1,"A wooden house with a porch, people interacting, horses, and a wagon nearby."
18,20241025172826_1,"A group of people stands in a field, two central figures shaking hands."
19,20241025172918_1,"A small wooden dam releases water into a stream, surrounded by forested hills."
20,20241025173217_1,A train emits smoke while traveling through dense forests with snowy mountains behind.
21,20241025173439_1,A woman with braided hair sits at a table under a glowing lamp.
22,20241025174016_1,"A bald man with a mustache looks thoughtfully, surrounded by shelves and light."
23,20241025174018_1,A framed photo shows people on and around a stagecoach with horses outdoors.
24,20241025174305_1,A group of people stands on a wooden porch in a rural setting.
25,20241025174315_1,A rustic cabin porch with people nearby and a rider on horseback approaching.
26,20241025174513_1,"A wooden grave marker written ""Arthur Morgan"" surrounded by flowers, overlooking distant hills."
27,20241025174519_1,A woman in a dark Victorian-style dress and hat looks down solemnly near rocks.
28,20241025174523_1,"A woman in a dark dress stands solemnly near a grave marked ""Arthur Morgan""."
29,20241025174843_1,Three deer drink from a shallow stream surrounded by dense forest and grass.
30,20241025174935_1,A lone wolf sits on a snowy hill under a crescent moon and stars.
31,20241025175024_1,A small church stands in a dusty desert landscape surrounded by cacti.
32,20241025175026_1,"A desert landscape with a church, cacti, vultures, and scattered rocks."
33,20241025175028_1,"A dusty desert landscape with a church, cacti, and horses in the background."
34,20241025175115_1,"A lone figure in a hat overlooks a vast, cloudy, rural landscape."
35,20241025175126_1,"An older man with weathered skin, long gray hair, and a wide-brimmed hat."
36,20241025175208_1,"A cast list showing character names, roles, and corresponding actor credits in columns."
37,20241025175740_1,"Credits listing musicians, their instruments, and original song details, including composer information."
38,20241028154514_1,"A bearded man in a hat fires a rifle, glowing muzzle flash visible."
39,20241028155436_1,A large bird of prey with outstretched wings flies over a rustic settlement.
40,20241028155644_1,"A rider on horseback shoots a man falling back, blood splatter in the air."
41,20241028155711_1,"A rider shoots from horseback, striking a man, causing his hat to fly off."
