id,images,captions
1,20250518134208_1,A shirtless man is connected to a heart monitor showing 82 BPM during interrogation.
1,20250530003847_1,A small yellow biplane flies under a starry night sky above distant mountains.
1,20250530005218_1,"A large airplane with an exploding wing flies in a blue sky above Bolingbroke Penitentiary, shown with a minimap inset."
1,20250605151149_1,A gray twin-engine propeller airplane with rounded wingtips flies in a cloudy blue sky.
1,20250614190010_1,A silhouetted person leaps toward a large full moon in a starry purple night sky with clouds and city lights below
1,20250819201346_1,"An orange cat carrying a bucket in its mouth walks on a pipe in a dark, pipe-filled industrial room"
1,20250518134316_1,A man holds sparking blue electric clips toward a shirtless seated man in a dim industrial room with control prompt overlay
1,20250518135708_1,A man holds a device to the head of a shirtless seated man wired to a heartbeat monitor in a dimly lit industrial room
1,20250523182401_1,A person with dreadlocks and blistered muddy skin raises hands in a cluttered kitchen with posters and fridge
1,20250526183533_1,"A green and yellow submersible vehicle rests on sandy ocean floor amid colorful glowing plants, with minimap showing 2m depth"
1,20250601134707_1,A person climbs into a black V12 SUV with broken window and license plate 20LKR638 near fire at night
1,20250604011706_1,Two topless women with blonde and black hair stand close in a dimly lit room with red curtains and game controls overlay
1,20250605150033_1,A man in a blue coat aims a pistol at the camera in a snowy night scene with a fence
1,20250605150110_1,"A nighttime standoff between two men with guns in a snowy graveyard, one aiming and one defending."
1,20250605150811_1,A man in a car is threatened by another holding a rifle in a snowy night scene
1,20250605150816_1,A man in a black coat and cap aims a pistol in a snowy night scene with a church and stained glass window
1,20250606013553_1,Two men are pouring liquid from red containers onto the floor inside an office room.
1,20250606013625_1,"A man in a plaid shirt holds a blue bin near an office, with red containers nearby."
1,20250606020718_1,"Four men stand on a balcony, two in suits, all pointing handguns at each other."
1,20250606020754_1,Armed agents in FIB vests and suits aim guns at each other outside.
1,20250606113615_1,A man in a suit lies resting peacefully on a couch indoors.
1,20250606114443_1,A shirtless man with short hair and facial piercings looks downward indoors.
1,20250607224017_1,"The image shows a soldier using night vision, subduing a suspect with a baton."
1,20250608011748_1,"The image shows three characters pushing a car during sunset, with a scenic view."
1,20250608225816_1,A person is standing on the railing of a red and white striped industrial chimney at night.
1,20250608225845_1,"A man is reaching down to grab another person's hand, holding onto a railing."
1,20250608225903_1,A person is looking down from a red industrial railing at the ground below.
1,20250608230906_1,"A man with a stern expression sits in a red vehicle, holding up his hand."
1,20250614185940_1,"A helicopter flies over a city skyline at sunset, with a blimp in the sky."
1,20250819200641_1,A curious orange cat with large eyes is peeking over a ledge with green leaves.
1,20250819201012_1,A small cat faces a surveillance camera with a red light in a dim alley.
1,20250819201118_1,"A cat stands before a neon ""HELP"" sign on a dark, rundown building."
1,20250819201617_1,A cat faces a crawling robot with a glowing green screen in a grimy alley.
1,20250819201626_1,"An orange cat sniffs a fallen robot’s head in a dirty, green-lit alley."
1,20250819201705_1,"Glowing-eyed creatures surround trash bags and stairs in a dim, eerie alleyway."
1,20250819203514_1,A cat in a bucket travels along a cable above glowing orange creatures.
1,20250819204458_1,An orange cat with a small harness naps on a striped bed in a cozy room.
1,20250819212008_1,"A cat sits in a hanging bucket, suspended by cables above a foggy city."
1,20250820144108_2,A narrow alley filled with debris and glowing red-eyed robots under harsh sunlight.
1,20250820144109_2,"A sunlit alley cluttered with debris, an abandoned vehicle, and two glowing-eyed robots."
1,20250518115652_1,"Four men are gathered at an outdoor café table, engaged in a serious discussion."
1,20250518120431_1,"Three men stand beside a helicopter in an industrial yard, seemingly mid-conversation or confrontation."
1,20250529234851_1,A small jet is on fire mid-air near a large observatory on a hillside.
1,20250602233108_1,Several freight train cars are parked beside an industrial warehouse along multiple railway tracks.
1,20250605143844_1,A man in a tank top with tattoos is near firefighters and a fire on the road.
1,20250606002137_2,"Three men are in a dimly lit room, with one man hanging upside down, injured."
1,20250606012212_1,"A red fire truck labeled ""32"" sprays water from its roof cannon on a street."
1,20250606013505_1,"A brick building with arched windows displays a large rooftop sign reading ""DARNELL BROS"".
"
1,20250606014848_1,Four firefighters in full gear exit an elevator on floor 1 of a building.
1,20250606020952_1,A man holding a rifle stands on a balcony overlooking a courtyard sculpture.
1,20250606113614_1,A large Mediterranean-style villa with ivy-covered walls stands beside a calm swimming pool.
1,20250608012739_1,A man stands shocked in a cluttered room while a woman faces him closely.
1,20250608012751_1,An older woman with red hair and leopard print dress stands inside a cluttered room.
1,20250608230809_1,A man with a gun tucked behind approaches another sitting in a red truck at night in woods.
1,20250608231307_1,A man stands watching another man on the ground near a red truck and orange tanker.
1,20250608231326_1,"A fiery explosion from a truck, with crates and two figures sitting nearby."
1,20250608231338_1,"Two men are standing in an industrial area, one in a suit, the other in casual clothes."
1,20250614185955_1,"Two bikers ride past a ""Los Santos Airbase Bunker"" sign in a desert area."
1,20250819195704_1,Three cats stand in a sunlit tunnel overgrown with vines and plants.
1,20250819195812_1,Two cats walk closely together on a mossy floor covered with green plants.
1,20250819195825_2,Two cats sit closely together on a mossy ledge beside large metal pipes.
1,20250819195913_1,Four cats are curled up sleeping on a piece of cardboard amid greenery.
1,20250819200631_1,A small orange cat stands on a sunlit pipe surrounded by green plants.
1,20250819201629_1,A small orange cat examines a broken robot lying on a dirty floor.
1,20250819212714_1,"A person in a floral shirt is typing on a computer displaying green code, with a robot and cat nearby."
1,20250819224158_1,"A wooden bridge leads to a treehouse with glowing lights, surrounded by plants and trees."
1,20250819234356_1,"A cat is sleeping on a patterned pillow, with colorful neon lights in the background."
1,20250518134328_1,A man in an orange shirt uses electrical clips on a restrained shirtless man.
1,20250518135503_1,A shirtless man is tied down with wires on his chest while water is poured over his face.
1,20250518142401_1,"A man in a suit sits in a chair with his feet up, facing bright light."
1,20250605141017_1,"Two people stand on top of a building with a large ""MAZE"" sign."
1,20250605145512_1,"A small twin-engine plane flies through a dark, stormy sky with lightning nearby."
1,20250605145723_1,A man in a puffer jacket stands in a snowy graveyard under a full moon.
1,20250605145828_1,A man in a puffer jacket digs with a shovel in a graveyard at night.
1,20250606011139_1,A black car with bright taillights drives on a wet city road at night.
1,20250606020713_1,"Two men are aiming pistols in the sunset, with one wearing a FIB badge."
1,20250606020816_1,"A man’s head is injured with blood and brain exposed, others stand nearby holding guns."
1,20250606020937_1,"A helicopter hovers above a statue, with banners and two armed figures below."
1,20250608000428_1,A man watches two women in revealing outfits talking in a brightly lit dressing room.
1,20250608000654_1,"The image shows a large hole in a wall with smoke and debris, and a fire extinguisher nearby."
1,20250608011756_1,"The image shows three men standing outdoors, one with blood on his shirt."
1,20250608225721_1,"A person sits on a rusted platform at night, overlooking distant lights and structures."
1,20250608225820_1,"The image shows two men facing off on a metal platform at night, with wind turbines in the background."
1,20250608225947_1,"The image shows a man on the phone at night, with industrial structures and stars above."
1,20250608230002_1,"The image shows a dark industrial area with a road, pipes, and a warning sign overhead."
1,20250608230849_1,"A man with a distressed expression stands inside a red, damaged vehicle at dusk."
1,20250608230920_1,"A man in a white shirt exits a red, damaged vehicle, appearing agitated."
1,20250608230929_1,"A man in a black shirt points a gun, with a train wreck in the background."
1,20250608231259_1,"Two men walk, one in a suit and the other in a black shirt."
1,20250608231334_1,"Two men are in a fiery explosion, one holding a gun and another in a suit."
1,20250614185939_1,"A helicopter flies against a sunset backdrop, above a mountain and helipad."
1,20250614190000_1,"Several rifles are displayed on a wooden rack, surrounded by wooden crates and green boxes."
1,20250614190013_2,"A person fires a minigun while another holds a rifle, with city buildings in the background."
1,20250819200010_1,"A cat walks through a mossy, overgrown area with two others in the background."
1,20250819200636_2,"A ginger cat climbs a large metallic pipe, surrounded by green plants and foliage."
1,20250819215415_1,"A dark, foggy alley with glowing orange mushrooms, overgrown plants, and a set of stairs."
1,20250819225736_1,A ginger cat with a harness walks through a dimly lit room with cluttered furniture.
1,20250820144033_1,"An orange cat sleeps on the floor, cuddling a small metallic robotic device."
