SL NO,Image_ID,Caption
1,20241020203334_1.jpg,"A fenced farmyard with a barn, horse, surrounding trees, and vast open fields."
2,20241020204935_1.jpg,"A man chopping wood with an axe, wood chips flying under a clear sky."
3,20241020205402_1.jpg,A dog walking alongside a man with a fishing rod and a boy.
4,20241020210220_1.jpg,"A vibrant rooster with orange, blue, and red feathers stands inside a wire-mesh enclosure with dry grass."
5,20241020210233_1.jpg,A brown chicken flaps its wings while a white chicken stands behind in a grassy enclosure.
6,20241020210245_1.jpg,A cowboy wearing a hat stands beside a tan dog near a wooden fence and water trough.
7,20241020210410_1.jpg,Sunlight streams through a window into a rustic wooden cabin with a lit fireplace.
8,20241020211320_1.jpg,"A bloodied person lies motionless on muddy ground, surrounded by broken wooden debris."
9,20241020213739_1.jpg,"A man and woman dance closely together, framed by a scenic countryside backdrop."
10,20241020214644_1.jpg,Two people sit in a wooden rowboat on a reflective river at sunset.
11,20241020214658_1.jpg,Two people sit in a rowboat on a calm lake during a pastel sunset.
12,20241020214710_1.jpg,"A bearded man and a woman sit in a wooden boat, holding hands."
13,20241020214743_1.jpg,A close-up of a woman’s face with an expressive gaze against dusk clouds.
14,20241020214831_1.jpg,A small wooden boat with two people floats on a calm lake at sunset.
15,20241025172502_1.jpg,"A man in a snowy area is shot, blood spraying, holding a revolver."
16,20241025172605_1.jpg,A wooden chest filled with gold bars and bundles of cash is present.
17,20241025172718_1.jpg,"A wooden house with a porch, people interacting, horses, and a wagon nearby."
18,20241025172826_1.jpg,"A group of people stands in a field, two central figures shaking hands."
19,20241025172918_1.jpg,"A small wooden dam releases water into a stream, surrounded by forested hills."
20,20241025173217_1.jpg,A train emits smoke while traveling through dense forests with snowy mountains behind.
21,20241025173439_1.jpg,A woman with braided hair sits at a table under a glowing lamp.
22,20241025174016_1.jpg,"A bald man with a mustache looks thoughtfully, surrounded by shelves and light."
23,20241025174018_1.jpg,A framed photo shows people on and around a stagecoach with horses outdoors.
24,20241025174305_1.jpg,A group of people stands on a wooden porch in a rural setting.
25,20241025174315_1.jpg,A rustic cabin porch with people nearby and a rider on horseback approaching.
26,20241025174513_1.jpg,"A wooden grave marker written ""Arthur Morgan"" surrounded by flowers, overlooking distant hills."
27,20241025174519_1.jpg,A woman in a dark Victorian-style dress and hat looks down solemnly near rocks.
28,20241025174523_1.jpg,"A woman in a dark dress stands solemnly near a grave marked ""Arthur Morgan""."
29,20241025174843_1.jpg,Three deer drink from a shallow stream surrounded by dense forest and grass.
30,20241025174935_1.jpg,A lone wolf sits on a snowy hill under a crescent moon and stars.
31,20241025175024_1.jpg,A small church stands in a dusty desert landscape surrounded by cacti.
32,20241025175026_1.jpg,"A desert landscape with a church, cacti, vultures, and scattered rocks."
33,20241025175028_1.jpg,"A dusty desert landscape with a church, cacti, and horses in the background."
34,20241025175115_1.jpg,"A lone figure in a hat overlooks a vast, cloudy, rural landscape."
35,20241025175126_1.jpg,"An older man with weathered skin, long gray hair, and a wide-brimmed hat."
36,20241025175208_1.jpg,"A cast list showing character names, roles, and corresponding actor credits in columns."
37,20241025175740_1.jpg,"Credits listing musicians, their instruments, and original song details, including composer information."
38,20241028154514_1.jpg,"A bearded man in a hat fires a rifle, glowing muzzle flash visible."
39,20241028155436_1.jpg,A large bird of prey with outstretched wings flies over a rustic settlement.
40,20241028155644_1.jpg,"A rider on horseback shoots a man falling back, blood splatter in the air."
41,20241028155711_1.jpg,"A rider shoots from horseback, striking a man, causing his hat to fly off."
42,20241028161502_1.jpg,A rider on horseback overlooks a vast lake and desert landscape.
43,20241028162051_1.jpg,A man stands near burning debris outside the South Western Railroad Company building.
44,20241028162648_1.jpg,"A catalog page displays food items like pear, cheese, salted beef, and pork loin with prices."
45,20241028165352_1.jpg,A large red rock mesa with layered formations surrounded by sparse vegetation.
46,20241028165833_1.jpg,A person in a hat fires a rifle with blood splatter in view.
47,20241028171302_1.jpg,A silhouette of a rider on horseback overlooks a canyon at sunset.
48,20241028171414_1.jpg,A person hangs by a rope against a steep rocky cliff at sunset.
49,20241028171508_1.jpg,A hand holds a map showing a stone pillar with a red arrow.
50,20241028172935_1.jpg,"A person fires a gun under a cloudy night sky, surrounded by desert vegetation."
51,20241028173445_1.jpg,"A man holding a revolver is shot, with blood spraying, near a desert building."
52,20241028173453_1.jpg,"Two men are shot and falling, with blood spraying, while another approaches armed."
53,20241028173816_1.jpg,"A cowboy on horseback in a desert landscape, got shot and slumps forward."
54,20241028174808_1.jpg,"A detailed rifle with gold engravings and leather wrap, held by gloved hands."
55,20241028174853_1.jpg,A standoff in a dusty Wild West town with armed figures surrounding one.
56,20241028175025_1.jpg,A close-up of a rifle with engraved golden details and a wooden stock.
57,20241028175048_1.jpg,"A detailed rifle with golden engravings and a wooden finish, held by gloved hands."
58,20241028181358_1.jpg,A man on horseback bleeds from a gunshot while another lies lifeless nearby.
59,20241028182049_1.jpg,Two men stand near an open grave surrounded by coffins and horse-drawn wagons.
60,20241028182657_1.jpg,"Several riders on horseback engage in a shootout, with one rider hit and bleeding."
61,20241028195023_1.jpg,A gloved hand holds an ornate golden pistol with engraved patterns outdoors.
62,20241028195754_1.jpg,Two gloved hands hold matching ornate golden pistols with intricate engraved patterns.
63,20241030152422_1.jpg,Two riders on horseback travel a dusty trail at sunset with cacti nearby.
64,20241030170347_1.jpg,"A gravestone reads ""Peter Turner,"" mentioning his death in 1894 by head injury."
65,Screenshot (154).png,"A man on horseback holds a lit lantern in a dark, forested swamp."
66,Screenshot (155).png,A man holding a lantern stands over a person lying on the ground in a dark forest.
